shoe_name_zh,brand_zh,price_zh,court_type_zh,foot_type_zh,material_zh,player_zh,link_cn_zh,link_global_zh,position_zh
Nike LeBron Witness 6,Nike,799,混合,正常脚,合成,LeBron James,https://dewu.com/lw6,https://amazon.com/lw6,guard,forward,center
Adidas Dame 7,Adidas,849,混合,正常脚,针织,Damian Lillard,https://dewu.com/d7,https://amazon.com/d7,guard,forward
李宁驭帅13,李宁,899,混合,正常脚,网面,,https://dewu.com/ys13,https://amazon.com/ys13,guard,forward
安踏战靴2代,安踏,799,户外,宽脚,合成,,https://dewu.com/zz2,https://amazon.com/zz2,guard,center
Under Armour Curry 7,Under Armour,899,混合,正常脚,针织,Stephen Curry,https://dewu.com/c7,https://amazon.com/c7,guard,forward
New Balance OMN1S,New Balance,999,混合,正常脚,网面,,https://dewu.com/o1,https://amazon.com/o1,guard,forward,center
Puma Clyde Court,Puma,849,混合,正常脚,合成,,https://dewu.com/cc,https://amazon.com/cc,guard,forward
Reebok Question Mid,Reebok,799,室内,宽脚,皮革,Allen Iverson,https://dewu.com/qm,https://amazon.com/qm,guard,forward
Nike Air Max Impact 2,Nike,749,混合,宽脚,合成,,https://dewu.com/ami2,https://amazon.com/ami2,guard,center
Adidas Pro Bounce 2018,Adidas,799,室内,正常脚,合成,,https://dewu.com/pb18,https://amazon.com/pb18,guard,forward
Nike Kyrie Flytrap 5,Nike,849,混合,正常脚,网面,Kyrie Irving,https://dewu.com/kf5,https://amazon.com/kf5,guard,forward
Adidas Harden Vol.6,Adidas,999,室内,正常脚,针织,James Harden,https://dewu.com/h6,https://amazon.com/h6,guard,forward
李宁全城10,李宁,899,混合,正常脚,合成,,https://dewu.com/qc10,https://amazon.com/qc10,guard,forward
安踏水花3,安踏,899,户外,宽脚,针织,Klay Thompson,https://dewu.com/sh3,https://amazon.com/sh3,guard,forward
Under Armour Lockdown 6,Under Armour,799,室内,正常脚,合成,,https://dewu.com/ld6,https://amazon.com/ld6,guard,宽脚
New Balance Two WXY v2,New Balance,949,混合,正常脚,网面,,https://dewu.com/tw2,https://amazon.com/tw2,forward,center
Puma Sky,Puma,849,室内,正常脚,皮革,,https://dewu.com/sk,https://amazon.com/sk,guard,center
Reebok Question Mid 2021,Reebok,899,室内,宽脚,皮革,Allen Iverson,https://dewu.com/qm21,https://amazon.com/qm21,guard,forward
Nike Air Force Max,Nike,949,混合,宽脚,合成,,https://dewu.com/afm,https://amazon.com/afm,forward,center
Adidas Pro Model 2G,Adidas,799,室内,正常脚,皮革,,https://dewu.com/pm2g,https://amazon.com/pm2g,guard,center
李宁闪击8,李宁,799,室内,正常脚,网面,,https://dewu.com/sj8,https://amazon.com/sj8,guard,forward
安踏轻骑兵5,安踏,699,户外,正常脚,合成,,https://dewu.com/qb5,https://amazon.com/qb5,guard,forward
Under Armour Curry 8,Under Armour,999,室内,正常脚,针织,Stephen Curry,https://dewu.com/c8,https://amazon.com/c8,guard,forward
New Balance Fresh Foam X,New Balance,899,混合,正常脚,网面,,https://dewu.com/ffx,https://amazon.com/ffx,guard,宽脚
Puma Clyde Hardwood,Puma,849,室内,正常脚,皮革,,https://dewu.com/ch,https://amazon.com/ch,forward,center
Reebok Shaqnosis,Reebok,949,室内,宽脚,皮革,Shaquille O'Neal,https://dewu.com/sn,https://amazon.com/sn,forward,center
Nike Air Max Impact 3,Nike,799,混合,宽脚,合成,,https://dewu.com/ami3,https://amazon.com/ami3,guard,center
Adidas D Rose 11,Adidas,849,室内,正常脚,合成,Derrick Rose,https://dewu.com/dr11,https://amazon.com/dr11,guard,forward
李宁音速10,李宁,799,混合,正常脚,网面,,https://dewu.com/ys10,https://amazon.com/ys10,guard,forward
安踏海沃德2,安踏,849,户外,宽脚,针织,Gordon Hayward,https://dewu.com/hw2,https://amazon.com/h
